nt 6000000
NFil 2
irLigand 8.333330
brLigand 40.000000
Force 0.000000
kdimer 0.000000
dimerDist0 14.000000
baseSepDistance 1.000000
POcclude_NumSites[i] 0 0.000000
POcclude_NumSites[i] 1 0.000000
POcclude_NumSites[i] 2 0.000000
POcclude_NumSites[i] 3 0.000000
POcclude_NumSites[i] 4 0.000000
POcclude_NumSites[i] 5 0.000000
POcclude_NumSites[i] 6 0.000000
POcclude_NumSites[i] 7 0.000000
POcclude_NumSites[i] 8 0.000000
POcclude_NumSites[i] 9 0.000000
POcclude_NumSites[i] 10 0.000000
POcclude_NumSites[i] 11 0.000000
POcclude_NumSites[i] 12 0.000000
POcclude_NumSites[i] 13 0.000000
POcclude_NumSites[i] 14 0.000000
POcclude_NumSites[i] 15 0.000000
POcclude_NumSites[i] 16 0.000000
POcclude_NumSites[i] 17 0.000000
POcclude_NumSites[i] 18 0.000000
POcclude_NumSites[i] 19 0.000000
POcclude_NumSites[i] 20 0.000000
POcclude_NumSites[i] 21 0.000000
POcclude_NumSites[i] 22 0.000000
POcclude_NumSites[i] 23 0.000000
POcclude_NumSites[i] 24 0.000000
POcclude_NumSites[i] 25 0.000000
POcclude_NumSites[i] 26 0.000000
POcclude_NumSites[i] 27 0.000000
POcclude_NumSites[i] 28 0.000000
POcclude_NumSites[i] 29 0.000000
POcclude_NumSites[i] 30 0.000000
POcclude_NumSites[i] 31 0.000000
POcclude_NumSites[i] 32 0.000000
POcclude_NumSites[i] 33 0.000000
POcclude_NumSites[i] 34 0.000000
POcclude_NumSites[i] 35 0.000000
POcclude_NumSites[i] 36 0.000000
POcclude_NumSites[i] 37 0.000000
POcclude_NumSites[i] 38 0.000000
POcclude_NumSites[i] 39 0.000000
POcclude_NumSites[i] 40 0.000000
POcclude_NumSites[i] 41 0.000000
POcclude_NumSites[i] 42 0.000000
POcclude_NumSites[i] 43 0.000000
POcclude_NumSites[i] 44 0.000000
POcclude_NumSites[i] 45 0.000000
POcclude_NumSites[i] 46 0.000000
POcclude_NumSites[i] 47 0.000000
POcclude_NumSites[i] 48 0.000000
POcclude_NumSites[i] 49 0.000000
POcclude_NumSites[i] 50 0.000000
POcclude_NumSites[i] 51 0.000000
POcclude_NumSites[i] 52 0.000000
POcclude_NumSites[i] 53 0.000000
POcclude_NumSites[i] 54 0.000000
POcclude_NumSites[i] 55 0.000000
POcclude_NumSites[i] 56 0.000000
POcclude_NumSites[i] 57 0.000000
POcclude_NumSites[i] 58 0.000000
POcclude_NumSites[i] 59 0.000000
POcclude_NumSites[i] 60 0.000000
POcclude_NumSites[i] 61 0.000000
POcclude_NumSites[i] 62 0.000000
POcclude_NumSites[i] 63 0.000000
POcclude_NumSites[i] 64 0.000000
POcclude_NumSites[i] 65 0.000000
POcclude_NumSites[i] 66 0.000000
POcclude_NumSites[i] 67 0.000000
POcclude_NumSites[i] 68 0.000000
POcclude_NumSites[i] 69 0.000000
POcclude_NumSites[i] 70 0.000000
POcclude_NumSites[i] 71 0.000000
POcclude_NumSites[i] 72 0.000000
POcclude_NumSites[i] 73 0.000000
POcclude_NumSites[i] 74 0.000000
POcclude_NumSites[i] 75 0.000000
POcclude_NumSites[i] 76 0.000000
POcclude_NumSites[i] 77 0.000000
POcclude_NumSites[i] 78 0.000000
POcclude_NumSites[i] 79 0.000000
POcclude_NumSites[i] 80 0.000000
POcclude_NumSites[i] 81 0.000000
POcclude_NumSites[i] 82 0.000000
POcclude_NumSites[i] 83 0.000000
POcclude_NumSites[i] 84 0.000000
POcclude_NumSites[i] 85 0.000000
POcclude_NumSites[i] 86 0.000000
POcclude_NumSites[i] 87 0.000000
POcclude_NumSites[i] 88 0.000000
POcclude_NumSites[i] 89 0.000000
POcclude_NumSites[i] 90 0.000000
POcclude_NumSites[i] 91 0.000000
POcclude_NumSites[i] 92 0.000000
POcclude_NumSites[i] 93 0.000000
POcclude_NumSites[i] 94 0.000000
POcclude_NumSites[i] 95 0.000000
POcclude_NumSites[i] 96 0.000000
POcclude_NumSites[i] 97 0.000000
POcclude_NumSites[i] 98 0.000000
POcclude_NumSites[i] 99 0.000000
POcclude_NumSites[i] 100 0.000000
POcclude_NumSites[i] 101 0.000000
POcclude_NumSites[i] 102 0.000000
POcclude_NumSites[i] 103 0.000000
POcclude_NumSites[i] 104 0.000000
POcclude_NumSites[i] 105 0.000000
POcclude_NumSites[i] 106 0.000000
POcclude_NumSites[i] 107 0.000000
POcclude_NumSites[i] 108 0.000000
POcclude_NumSites[i] 109 0.000000
POcclude_NumSites[i] 110 0.000000
POcclude_NumSites[i] 111 0.000000
POcclude_NumSites[i] 112 0.000000
POcclude_NumSites[i] 113 0.000000
POcclude_NumSites[i] 114 0.000000
POcclude_NumSites[i] 115 0.000000
POcclude_NumSites[i] 116 0.000000
POcclude_NumSites[i] 117 0.000000
POcclude_NumSites[i] 118 0.000000
POcclude_NumSites[i] 119 0.000000
POcclude_NumSites[i] 120 0.000000
POcclude_NumSites[i] 121 0.000000
POcclude_NumSites[i] 122 0.000000
POcclude_NumSites[i] 123 0.000000
POcclude_NumSites[i] 124 0.000000
POcclude_NumSites[i] 125 0.000000
POcclude_NumSites[i] 126 0.000000
POcclude_NumSites[i] 127 0.000000
POcclude_NumSites[i] 128 0.000000
POcclude_NumSites[i] 129 0.000000
POcclude_NumSites[i] 130 0.000000
POcclude_NumSites[i] 131 0.000000
POcclude_NumSites[i] 132 0.000000
POcclude_NumSites[i] 133 0.000000
POcclude_NumSites[i] 134 0.000000
POcclude_NumSites[i] 135 0.000000
POcclude_NumSites[i] 136 0.000000
POcclude_NumSites[i] 137 0.000000
POcclude_NumSites[i] 138 0.000000
POcclude_NumSites[i] 139 0.000000
POcclude_NumSites[i] 140 0.000000
POcclude_NumSites[i] 141 0.000000
POcclude_NumSites[i] 142 0.000000
POcclude_NumSites[i] 143 0.000000
POcclude_NumSites[i] 144 0.000000
POcclude_NumSites[i] 145 0.000000
POcclude_NumSites[i] 146 0.000000
POcclude_NumSites[i] 147 0.000000
POcclude_NumSites[i] 148 0.000000
POcclude_NumSites[i] 149 0.000000
POcclude_NumSites[i] 150 0.000000
POcclude_NumSites[i] 151 0.000000
POcclude_NumSites[i] 152 0.000000
POcclude_NumSites[i] 153 0.000000
POcclude_NumSites[i] 154 0.000000
POcclude_NumSites[i] 155 0.000000
POcclude_NumSites[i] 156 0.000000
POcclude_NumSites[i] 157 0.000000
POcclude_NumSites[i] 158 0.000000
POcclude_NumSites[i] 159 0.000000
POcclude_NumSites[i] 160 0.000000
POcclude_NumSites[i] 161 0.000000
POcclude_NumSites[i] 162 0.000000
POcclude_NumSites[i] 163 0.000000
POcclude_NumSites[i] 164 0.000000
POcclude_NumSites[i] 165 0.000000
POcclude_NumSites[i] 166 0.000000
POcclude_NumSites[i] 167 0.000000
POcclude_NumSites[i] 168 0.000000
POcclude_NumSites[i] 169 0.000000
POcclude_NumSites[i] 170 0.000000
POcclude_NumSites[i] 171 0.000000
POcclude_NumSites[i] 172 0.000000
POcclude_NumSites[i] 173 0.000000
POcclude_NumSites[i] 174 0.000000
POcclude_NumSites[i] 175 0.000000
POcclude_NumSites[i] 176 0.000000
POcclude_NumSites[i] 177 0.000000
POcclude_NumSites[i] 178 0.000000
POcclude_NumSites[i] 179 0.000000
POcclude_NumSites[i] 180 0.000000
POcclude_NumSites[i] 181 0.000000
POcclude_NumSites[i] 182 0.000000
POcclude_NumSites[i] 183 0.000000
POcclude_NumSites[i] 184 0.000000
POcclude_NumSites[i] 185 0.000000
POcclude_NumSites[i] 186 0.000000
POcclude_NumSites[i] 187 0.000000
POcclude_NumSites[i] 188 0.000000
POcclude_NumSites[i] 189 0.000000
POcclude_NumSites[i] 190 0.000000
POcclude_NumSites[i] 191 0.000000
POcclude_NumSites[i] 192 0.000000
POcclude_NumSites[i] 193 0.000000
POcclude_NumSites[i] 194 0.000000
POcclude_NumSites[i] 195 0.000000
